Data;4189 - Taxa de juros - Selic acumulada no mõs anualizada base 252 - % a.a.
01/2010;8,65
02/2010;8,65
03/2010;8,65
04/2010;8,72
05/2010;9,40
06/2010;9,94
07/2010;10,32
08/2010;10,66
09/2010;10,66
10/2010;10,66
11/2010;10,66
12/2010;10,66
01/2011;10,85
02/2011;11,17
03/2011;11,62
04/2011;11,74
05/2011;11,92
06/2011;12,10
07/2011;12,25
08/2011;12,42
09/2011;11,91
10/2011;11,70
11/2011;11,40
12/2011;10,90
01/2012;10,70
02/2012;10,40
03/2012;9,82
04/2012;9,35
05/2012;8,87
06/2012;8,39
07/2012;8,07
08/2012;7,85
09/2012;7,39
10/2012;7,23
11/2012;7,14
12/2012;7,16
01/2013;7,11
02/2013;7,12
03/2013;7,15
04/2013;7,26
05/2013;7,42
06/2013;7,90
07/2013;8,23
08/2013;8,45
09/2013;8,90
10/2013;9,25
11/2013;9,45
12/2013;9,90
01/2014;10,17
02/2014;10,43
03/2014;10,65
04/2014;10,87
05/2014;10,90
06/2014;10,90
07/2014;10,90
08/2014;10,90
09/2014;10,90
10/2014;10,92
11/2014;11,15
12/2014;11,58
01/2015;11,82
02/2015;12,15
03/2015;12,58
04/2015;12,68
05/2015;13,15
06/2015;13,58
07/2015;13,69
08/2015;14,15
09/2015;14,15
10/2015;14,15
11/2015;14,15
12/2015;14,15
01/2016;14,15
02/2016;14,15
03/2016;14,15
04/2016;14,15
05/2016;14,15
06/2016;14,15
07/2016;14,15
08/2016;14,15
09/2016;14,15
10/2016;14,05
11/2016;13,90
12/2016;13,65
01/2017;13,17
02/2017;12,82
03/2017;12,15
04/2017;11,59
05/2017;11,15
06/2017;10,15
07/2017;10,01
08/2017;9,15
09/2017;8,35
10/2017;8,01
11/2017;7,40
12/2017;7,00
01/2018;6,90
02/2018;6,72
03/2018;6,58
04/2018;6,40
05/2018;6,40
06/2018;6,40
07/2018;6,40
08/2018;6,40
09/2018;6,40
10/2018;6,40
11/2018;6,40
12/2018;6,40
01/2019;6,40
02/2019;6,40
03/2019;6,40
04/2019;6,40
05/2019;6,40
06/2019;6,40
07/2019;6,40
08/2019;5,90
09/2019;5,71
10/2019;5,38
11/2019;4,90
12/2019;4,59
01/2020;4,40
02/2020;4,19
03/2020;3,95
04/2020;3,65
05/2020;3,01
06/2020;2,58
07/2020;2,15
08/2020;1,94
09/2020;1,90
10/2020;1,90
11/2020;1,90
12/2020;1,90
01/2021;1,90
02/2021;1,90
03/2021;2,23
04/2021;2,65
05/2021;3,29
06/2021;3,76
07/2021;4,15
08/2021;5,01
09/2021;5,43
10/2021;6,30
11/2021;7,65
12/2021;8,76
01/2022;9,15
02/2022;10,49
03/2022;11,15
04/2022;11,65
05/2022;12,51
06/2022;12,89
07/2022;13,15
08/2022;13,58
09/2022;13,65
10/2022;13,65
11/2022;13,65
12/2022;13,65
01/2023;13,65
02/2023;13,65
03/2023;13,65
04/2023;13,65
05/2023;13,65
06/2023;13,65
07/2023;13,65
08/2023;13,19
09/2023;12,97
10/2023;12,65
11/2023;12,17
12/2023;11,87
01/2024;11,65
02/2024;11,15
03/2024;11,00
04/2024;10,65
05/2024;10,46
06/2024;10,40
07/2024;10,40
08/2024;10,40
09/2024;10,50
10/2024;10,65
11/2024;11,04
12/2024;11,77
01/2025;12,24
02/2025;13,15
03/2025;13,57
04/2025;14,15
05/2025;14,55
06/2025;14,74
07/2025;14,90
08/2025;14,90
09/2025;14,90
10/2025;14,90
11/2025;14,90
12/2025;14,90
01/2026;14,90
Fonte;BCB-Demab
